hasMore,count,evStations__evStation__totalNumberOfConnectors,evStations__evStation__connectors__connector__connectorType__name,evStations__evStation__connectors__connector__connectorType__id,evStations__evStation__connectors__connector__chargeCapacity,evStations__evStation__connectors__connector__maxPowerLevel,evStations__evStation__connectors__connector__customerChargeLevel,evStations__evStation__connectors__connector__customerConnectorName,evStations__evStation__connectors__connector__fixedCable,evStations__evStation__connectors__connector__connectorDetails__reservable,evStations__evStation__connectors__connector__connectorDetails__privateAccess,evStations__evStation__connectors__connector__connectorDetails__open24x7,evStations__evStation__connectors__connector__connectorDetails__openingHours__regularOpeningHours__daymask,evStations__evStation__connectors__connector__connectorDetails__openingHours__regularOpeningHours__period__from,evStations__evStation__connectors__connector__connectorDetails__openingHours__regularOpeningHours__period__to,evStations__evStation__connectors__connector__connectorDetails__pay,evStations__evStation__connectors__connector__connectorDetails__manufacturer,evStations__evStation__connectors__connector__chargingPoint__chargeMode,evStations__evStation__connectors__connector__chargingPoint__numberOfConnectors,evStations__evStation__evStationDetails__notes,evStations__evStation__address__city,evStations__evStation__address__country,evStations__evStation__address__region,evStations__evStation__address__street,evStations__evStation__address__streetNumber,evStations__evStation__address__postalCode,evStations__evStation__contacts__phone__value,evStations__evStation__contacts__phone__label,evStations__evStation__distance,evStations__evStation__position__latitude,evStations__evStation__position__longitude,evStations__evStation__entrancePosition__latitude,evStations__evStation__entrancePosition__longitude,evStations__evStation__name,evStations__evStation__id,evStations__evStation__lastUpdateTimestamp
,,,JEVS G 105 (CHAdeMO),29,"380-480VAC, 3-phase at max. 63 A",44,3,DC TEPCO connector,TRUE,,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Tritium,4,1,,,,,,,,,,,,,,,,,
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,1,Available trading hours only. Restricted.,Gold Coast,AUS,Queensland,Expo Ct,13,4214,6.113E+11,PHONE,12615,-27.97769165,153.3863525,-27.9791055,153.3862105,Origin / NISSAN VB 01,036r7j0f-864e55f7ccde4293901d0f42cc234b2c,2020-03-05T17:56:57.481Z
,,4,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,2,,Gold Coast,AUS,Queensland,,,4212,,,19939,-27.923559,153.338922,-27.9236002,153.3389805,Electric Highway - Helensvale,036r7j11-05c35ff89ff446e490a3cdfa6ffbfb71,2020-03-04T10:31:20.817Z
,,,JEVS G 105 (CHAdeMO),29,"380-480VAC, 3-phase at max. 63 A",44,3,DC TEPCO connector,TRUE,,FALSE,,,,,,,4,1,,,,,,,,,,,,,,,,,
,,,IEC 62196-2 type 2 combo (Mennekes),34,"380-480VAC, 3-phase at max. 32 A",50,3,AC/DC combo (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,1,,,,,,,,,,,,,,,,,
,,2,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,2,Coles Ormeau.,Gold Coast,AUS,Queensland,Eggersdorf Rd,49,4208,6.113E+11,PHONE,37175,-27.78497825,153.2607397,-27.78514,153.26067,Coles / Ormeau 01,036r7hcz-1243609531c346d0be4952e4ca539c26,2020-03-04T10:30:55.467Z
,,2,IEC 62196-2 type 2 combo (Mennekes),34,"380-480VAC, 3-phase at max. 32 A",50,3,AC/DC combo (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,1,,Brisbane,AUS,Queensland,,,4207,,,43548,-27.80604167,153.1153611,-27.8060698,153.1153995,Sales and Information Village Yarrabilba,036r7hcu-4b67fcc32da146b2be656151ae23d0c9,2020-03-04T10:30:59.750Z
,,,JEVS G 105 (CHAdeMO),29,"380-480VAC, 3-phase at max. 63 A",44,3,DC TEPCO connector,TRUE,,FALSE,,,,,,,4,1,,,,,,,,,,,,,,,,,
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,,FALSE,,,,,,,3,1,Cyclon-32.,Brisbane,AUS,Queensland,Jacaranda Ave,,4114,,,56576,-27.65756806,153.1152708,-27.65768,153.11503,Import Auto Kingston,036r7hfs-dc330c68ecaa43288d1c48a3ee31bb3f,2020-03-04T10:31:12.272Z
,,1,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,FALSE,,3,1,,Brisbane,AUS,Queensland,Pacific Mtwy,,4127,,,58399,-27.63027533,153.1305675,-27.6302312,153.1306727,RENAULT Cricks Highway,036r7hfu-d15442a5aa9542bd976db0ec9d83db8a,2020-03-05T17:57:07.393Z
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,,FALSE,,,,,FALSE,,3,1,,Brisbane,AUS,Queensland,Pacific Hwy,,4127,,,60079,-27.616381,153.1236806,-27.61631,153.12387,Suzi Auto Services & Oz Diy Ev,036r7hfu-b4c2a29591724bd591007a93074929d0,2020-03-05T17:57:07.828Z
,,2,IEC 62196-2 type 2 combo (Mennekes),34,"380-480VAC, 3-phase at max. 32 A",50,3,AC/DC combo (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,1,,Ewingsdale,AUS,New South Wales,Ewingsdale Rd,,2481,,,62550,-28.6362,153.553357,-28.63643,153.5533351,Nrma Electric Vehicle Fast Charger Ewingsdale,036r6vjn-9ae818a933c54c2aabef15c18dd184f2,2020-03-04T10:31:03.022Z
,,,JEVS G 105 (CHAdeMO),29,"380-480VAC, 3-phase at max. 63 A",44,3,DC TEPCO connector,TRUE,,FALSE,,,,,,,4,1,,,,,,,,,,,,,,,,,
,,2,JEVS G 105 (CHAdeMO),29,"380-480VAC, 3-phase at max. 63 A",44,3,DC TEPCO connector,TRUE,,FALSE,,,,,,,4,1,,Ewingsdale,AUS,New South Wales,Ewingsdale Rd,,2481,,,62567,-28.63631487,153.5536072,-28.63644,153.55344,The Farm Byron Bay,036r6vjn-8d6e020d62674fc9b3266a43b9913a71,2020-03-04T10:30:58.821Z
,,,IEC 62196-2 type 2 combo (Mennekes),34,"380-480VAC, 3-phase at max. 32 A",50,3,AC/DC combo (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,1,,,,,,,,,,,,,,,,,
,,2,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,2,,Byron Bay,AUS,New South Wales,,,2481,,,62691,-28.631601,153.582541,-28.6315237,153.5826145,Habitat/Byron Bay Holiday Rental,036r6vjn-49fe6a064322442f8a652af7b92673cb,2020-03-04T10:31:05.987Z
,,2,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,2,,Brisbane,AUS,Queensland,Middle St,111-115,4163,6.113E+11,PHONE,64145,-27.52627995,153.2690916,-27.526,153.2693,Stockland / Cleveland Sth01,036r7hgr-ba668a4a4aed4057a237207b7c0d240d,2020-03-04T10:30:54.728Z
,,2,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,2,,Brisbane,AUS,Queensland,Middle St,91,4163,6.113E+11,PHONE,64236,-27.5255524,153.2685876,-27.52595,153.26816,Stockland / Cleveland Nth01,036r7hgr-57fe407d70314647bbbdcd06dbdf66a8,2020-03-04T10:30:54.411Z
,,2,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,2,,Brisbane,AUS,Queensland,Gardner Rd,,4123,,,64321,-27.577966,153.113221,-27.57809,153.1148,Coles - Rochedale,036r7hgh-0a73338ee722450c84f04ac0064a59e7,2020-03-04T20:05:00.295Z
,,2,JEVS G 105 (CHAdeMO),29,"380-480VAC, 3-phase at max. 63 A",44,3,DC TEPCO connector,TRUE,,FALSE,,,,,,,4,1,,Byron Bay,AUS,New South Wales,Lawson St,,2481,,,64808,-28.64320833,153.6158194,-28.64304,153.61573,Byron Bay Library,036r6vjp-e2a71905e58e415487c5d935721975b8,2020-03-04T10:31:11.025Z
,,,IEC 62196-2 type 2 combo (Mennekes),34,"380-480VAC, 3-phase at max. 32 A",50,3,AC/DC combo (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,1,,,,,,,,,,,,,,,,,
,,8,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,8,,Byron Bay,AUS,New South Wales,Jonson St,,2481,,,65116,-28.647009,153.612336,-28.64704,153.61279,Mercato Shopping Centre,036r6vjp-7f8a824edd7c4e9db55468d91ce4f6ad,2020-03-05T17:57:01.781Z
,,1,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,FALSE,,3,1,,Brisbane,AUS,Queensland,Neumann Rd,,4157,,,65622,-27.52981,153.20338,-27.53005,153.20337,Rea Solar,036r7hgq-2aaae90c7cc4442aac0554f16d1ab522,2020-03-05T17:57:31.762Z
,,0,,,,,,,,,,,,,,,,,,,Brisbane,AUS,Queensland,Warrigal Rd,,4113,61755260682,PHONE,65756,-27.57568,153.08811,-27.5756,153.08755,Ev Charging Solutions,036r7hg5-5d905e5420f84718802d285df06c8ee1,2020-02-15T20:04:55.365Z
,,4,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Tritium,3,2,,Brisbane,AUS,Queensland,David Henry Way,,4300,6.113E+11,PHONE,68474,-27.68205411,152.8998857,-27.6822347,152.900055,Springfield,036r7hdx-06433c87e97b41b690f71467644ec8f0,2020-03-05T17:56:58.655Z
,,,IEC 62196-2 type 1 combo (SAE J1772),33,,,,AC/DC combo (Yazaki - type 1),FALSE,,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Tritium,,1,,,,,,,,,,,,,,,,,
,,,JEVS G 105 (CHAdeMO),29,"380-480VAC, 3-phase at max. 63 A",44,3,DC TEPCO connector,TRUE,,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Tritium,4,1,,,,,,,,,,,,,,,,,
,,4,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,FALSE,127,7:00:00,21:00:00,,,3,4,,Brisbane,AUS,Queensland,,,4300,,,68633,-27.6776213,152.9021516,-27.6776213,152.90189,Orion Springfield Central,036r7hdx-3cfc4ff7e16f4c70a9ceeb11101b9ef4,2020-03-04T10:31:04.492Z
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,,FALSE,,,,,FALSE,,3,1,,Brisbane,AUS,Queensland,Antimony St,,4300,,,71041,-27.61680542,152.9354072,-27.61703,152.93501,TNN Engineering,036r7hfb-d5dd3b51a92e4202a50e5605b7b27cbd,2020-03-05T17:57:34.377Z
,,4,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,4,,Brisbane,AUS,Queensland,Old Cleveland Rd,,4152,6.113E+11,PHONE,72249,-27.5031582,153.1016512,-27.50319,153.10192,Westfield / Carindale 01,036r7hge-9b5ed78f693049358d4647b4dec71fcf,2020-03-05T17:56:50.733Z
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,1,,Brisbane,AUS,Queensland,Viking Dr,163,4076,6.113E+11,PHONE,73359,-27.59995842,152.9213715,-27.59991,152.92215,NISSAN / QLD Office 01,036r7hdz-dc645b0dcfb74f62a3d19b027ba93000,2020-03-05T17:56:59.568Z
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,1,Available Business Hours - Rear of bldg near Service Dept.,Brisbane,AUS,Queensland,Ipswich Rd,917,4105,6.113E+11,PHONE,73818,-27.52771568,153.019989,-27.52737,153.02077,Origin / Moorooka NISSAN,036r7hg6-7eedcaa5948d4a69b9aee6554a3d73f7,2020-03-05T17:57:33.233Z
,,2,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,2,Enjoy our cafe animal park and fine food store while your EV charges. Powered by the Sun. Castle Open 8am to 5pm every day except Xmas Day. EV station open 24/7.,Knockrow,AUS,New South Wales,Hinterland Way,,2479,6.113E+11,PHONE,74678,-28.74968737,153.5343778,-28.75031,153.53465,Macadamia Cstle / Solar Powered,036r6vhm-82f6bc05b5cb4f4985fd3bb486540aae,2020-03-05T17:57:00.313Z
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,TRUE,Coulomb,3,1,Residents have priority. Located in visitor car spot up side common driveway look for Chargepoint sign.,Brisbane,AUS,Queensland,Paragon St,21,4104,6.113E+11,PHONE,74682,-27.52212754,153.013608,-27.52226,153.01348,Creal / Bne_001,036r7hg3-28452f9ba5214306995fc31beebc437c,2020-03-05T17:57:31.165Z
,,1,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,FALSE,,3,1,,Brisbane,AUS,Queensland,Stanley St E,,4169,,,76166,-27.48864725,153.0473497,-27.48826,153.04726,Ashburner Francis,036r7hgd-b245909a0a9145c18b6b6584cc144395,2020-03-05T17:56:50.444Z
,,1,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,FALSE,,3,1,,Brisbane,AUS,Queensland,Logan Rd,,4102,,,76464,-27.48958277,153.0393409,-27.48975,153.03895,Jax Tyres,036r7hgd-3784f94767d046a2a063e818cefebc17,2020-03-05T17:56:50.571Z
,,1,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,FALSE,,3,1,,Brisbane,AUS,Queensland,,,4067,,,77033,-27.49542427,153.0168152,-27.4954068,153.0168127,University of Queensland,036r7hg9-1acfa5543ee84b02bf3a72dbcf4a2fbb,2020-03-04T10:30:57.538Z
,,2,IEC 62196-2 type 2 combo (Mennekes),34,"380-480VAC, 3-phase at max. 32 A",50,3,AC/DC combo (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,1,2veefil/tritium.,Brisbane,AUS,Queensland,,,4067,,,77495,-27.49489722,153.0088639,-27.4949321,153.0088766,University of QLD P1,036r7hg9-020930fc07b446e2ae60b72f76e624fc,2020-03-04T10:31:00.837Z
,,,JEVS G 105 (CHAdeMO),29,"380-480VAC, 3-phase at max. 63 A",44,3,DC TEPCO connector,TRUE,,FALSE,,,,,,,4,1,,,,,,,,,,,,,,,,,
,,2,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,2,Parking fees applicable. Available for public. Enter carpark and is located outside lifts on basement level 3.,Brisbane,AUS,Queensland,Browning St,10,4101,6.113E+11,PHONE,78895,-27.4776909,153.0134671,-27.47788,153.01321,Visionstream / VPL Westend B3,036r7hg9-36a88fa0f4d944f9a8d7f93c6ea7582d,2020-03-05T17:57:17.322Z
,,6,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Tritium,3,2,,Brisbane,AUS,Queensland,,,4007,6.113E+11,PHONE,78909,-27.444345,153.083957,-27.4444605,153.0840292,Electric Highway - Hamilton Foreshore,036r7hgg-5d9e4a6436244082a0139894d4673669,2020-03-04T10:31:11.906Z
,,,IEC 62196-2 type 1 combo (SAE J1772),33,,,,AC/DC combo (Yazaki - type 1),FALSE,,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Tritium,,2,,,,,,,,,,,,,,,,,
,,,JEVS G 105 (CHAdeMO),29,"380-480VAC, 3-phase at max. 63 A",44,3,DC TEPCO connector,TRUE,,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Tritium,4,2,,,,,,,,,,,,,,,,,
,,1,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,1,,Brisbane,AUS,Queensland,Edward St,,4000,,,79185,-27.4681015,153.0261688,-27.46787,153.0265,Queens Plaza Car Park,036r7hgd-f14da9cec01340ad99e6ac76ea4aec9e,2020-03-04T10:30:59.388Z
,,1,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,1,,Brisbane,AUS,Queensland,,,4000,,,79199,-27.46735764,153.027359,-27.46734,153.027359,Post Office Square Car Park,036r7hgd-8d9d956881004979a8ca609ff6f9b1e8,2020-03-04T10:30:59.331Z
,,2,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,,,3,2,,Brisbane,AUS,Queensland,Queen St,,4000,,,79300,-27.46450424,153.0310059,-27.464715,153.031265,480 Queen St Carpark,036r7hgf-1f176daa2dc346bfa7b3f6fc33704a8f,2020-03-04T10:30:59.272Z
,,2,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,,,,,FALSE,,3,1,,Brisbane,AUS,Queensland,Albert St,,4000,,,79358,-27.46766826,153.0234905,-27.46765,153.0233,King George Square Car Park,036r7hgd-9e7cabed9bbd4f778c48f09180e29994,2020-03-05T17:56:50.076Z
,,,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,,FALSE,,,,,FALSE,,3,1,,,,,,,,,,,,,,,,,
,,2,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,2,,Brisbane,AUS,Queensland,Bridge St,42,4006,6.113E+11,PHONE,79889,-27.4556007,153.0368481,-27.45547,153.03702,Brisbane BMW / Chargepoint 01,036r7hgf-efffc89ae3014543a75e8081c6c97fa5,2020-03-05T17:57:16.847Z
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,FALSE,FALSE,TRUE,127,0:00:00,24:00:00,FALSE,Coulomb,3,1,Access from Victoria Street - Available trading hours.,Brisbane,AUS,Queensland,Lutwyche Rd,150,4030,6.113E+11,PHONE,81704,-27.44046783,153.0297546,-27.43992,153.03072,Origin / Metro NISSAN,036r7hgf-92246058d45644c6bfcbd600e203b504,2020-03-05T17:56:51.329Z
,,1,IEC 62196-2 type 1 (SAE J1772),30,"200-240VAC, 1-phase at max. 32 A",7.6,2,AC EV connector (Yazaki - type 1),TRUE,,FALSE,,,,,,,3,1,,Brisbane,AUS,Queensland,9th Ave,,4008,,,82094,-27.41420556,153.0806347,-27.4142803,153.080531,Dfo Brisbane,036r7hu5-cd2f682964d048ea9f9fcb813dbd85a0,2020-03-04T10:31:11.396Z
,,4,IEC 62196-2 type 2 (Mennekes),31,"380-480VAC, 3-phase at max. 32 A",22,3,AC EV connector (Mennekes - type 2),FALSE,,FALSE,FALSE,127,7:00:00,21:00:00,,,3,4,,Brisbane,AUS,Queensland,Centro Toombul Acc,,4012,,,83401,-27.408965,153.061878,-27.40901,153.06218,Toombul Shopping Centre,036r7hu5-5720e935660a42f8997f557b51d4e0bc,2020-03-05T17:56:49.259Z
